FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores/Hygiene,Scores/Structural,Scores/ConfidenceInManagement,SchemeType,NewRatingPending,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,RatingDate/_xsi:nil,Geocode/Longitude,Geocode/Latitude
716052,PI/000261850,Titanic Hotel,Hotel/bed & breakfast/guest house,7842,5,fhrs_5_en-GB,15/11/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,5,5,FHRS,FALSE,"Titanic Hotel, 22 Regent Road",Stanley Dock,Liverpool,Liverpool,L3 0AN,,-2.998753071,53.42198181
1059653,PI/000273209,Cafe Riccardo,Restaurant/Cafe/Canteen,1,4,fhrs_4_en-GB,08/06/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,10,10,FHRS,FALSE,34 Regent Street,,Liverpool,Liverpool,L3 7BN,,-2.9986471,53.4180989
498412,PI/000244815,Holyrood Day Nurseries,Hospitals/Childcare/Caring Premises,5,5,fhrs_5_en-GB,12/04/2021,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,0,0,FHRS,FALSE,"Holyrood Nursery, 4 William Jessop Way",,Liverpool,Liverpool,L3 0AA,,-2.9985839,53.4098582
1244091,75982,The Store,Retailers - other,4613,5,fhrs_5_en-GB,22/10/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,0,0,FHRS,FALSE,"Holyrood Nursery, 4 William Jessop Way",,Liverpool,Liverpool,L3 0AA,,-2.9985839,53.4098582
1243626,71309,Home Bargains,Retailers - supermarkets/hypermarkets,7840,AwaitingInspection,fhrs_awaitinginspection_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,,,,FHRS,FALSE,9 Paisley Street,,Liverpool,Liverpool,L3 7BA,TRUE,-2.998258114,53.41303253
497364,PI/000157678,Costco Wholesale,Retailers - supermarkets/hypermarkets,7840,5,fhrs_5_en-GB,15/05/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,5,5,FHRS,FALSE,30 Waterloo Road,,Liverpool,Liverpool,L3 7HY,,-2.9980131,53.4147963
1219319,76397,Factory Kitchen,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,23/01/2020,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,0,0,FHRS,FALSE,25 Carlton Street,,Liverpool,Liverpool,L3 7ED,,-2.9979314,53.4183262
919853,PI/000269773,Bean,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,22/10/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,5,5,FHRS,FALSE,"Bean, 6 William Jessop Way",,Liverpool,Liverpool,L3 0AA,,-2.9978601,53.4089355
1243938,71874,Ten Streets Market,Retailers - other,4613,AwaitingInspection,fhrs_awaitinginspection_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,,,,FHRS,FALSE,"Ten Streets Market, 27 Cotton Street",,Liverpool,Liverpool,L3 7DY,TRUE,-2.997707,53.4190775
738611,PI/000263997,S Norton and Co ltd,Restaurant/Cafe/Canteen,1,4,fhrs_4_en-GB,17/08/2016,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,10,5,FHRS,FALSE,Bankfield House Regent Road,Kirkdale,Liverpool,Liverpool,L20 8RQ,,-2.997687,53.4361598
521678,PI/000236443,Malmaison Liverpool,Hotel/bed & breakfast/guest house,7842,5,fhrs_5_en-GB,10/01/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,0,0,FHRS,FALSE,"Malmaison Hotel, 7 William Jessop Way",,Liverpool,Liverpool,L3 1QZ,,-2.997564077,53.40847015
521558,PI/000121577,United Molasses Group Ltd,Distributors/Transporters,7,5,fhrs_5_en-GB,21/05/2013,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,5,0,FHRS,FALSE,"U M Storage, 167 Regent Road",Kirkdale,Liverpool,Liverpool,L20 8DD,,-2.997555017,53.43122101
1243683,71571,Meraki Liverpool,Pub/bar/nightclub,7843,AwaitingInspection,fhrs_awaitinginspection_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,,,,FHRS,FALSE,3 Dickson Street,,Liverpool,Liverpool,L3 7EB,TRUE,-2.9975021,53.4193219
1244358,77934,Heritage Fish & Chips,Takeaway/sandwich shop,7844,AwaitingInspection,fhrs_awaitinginspection_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,,,,FHRS,FALSE,"Unit 3, 209 Great Howard Street",Kirkdale,Liverpool,Liverpool,L5 9ZH,TRUE,-2.9972754,53.4266831
497947,PI/000235455,Subway,Takeaway/sandwich shop,7844,5,fhrs_5_en-GB,12/03/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,5,0,FHRS,FALSE,"Unit 4, 209 Great Howard Street",Kirkdale,Liverpool,Liverpool,L5 9ZH,,-2.9972754,53.4266831
1363604,79670,Wayne Walker Factory Outlet,Retailers - other,4613,AwaitingInspection,fhrs_awaitinginspection_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,,,,FHRS,FALSE,"Unit 2, 209 Great Howard Street",Kirkdale,Liverpool,Liverpool,L5 9ZH,TRUE,-2.9972754,53.4266831
498996,PI/000251726,Dee-Lish,Takeaway/sandwich shop,7844,5,fhrs_5_en-GB,14/03/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,0,0,FHRS,FALSE,139 Derby Road,,Liverpool,Liverpool,L20 8LP,,-2.9971908,53.4401064
498324,PI/000243675,Adams Fast Food Supplies,Retailers - other,4613,5,fhrs_5_en-GB,22/10/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,5,0,FHRS,FALSE,183 Great Howard Street,City Centre,Liverpool,Liverpool,L3 7DL,,-2.9971859,53.4201235
498119,PI/000239912,Matou Asian Restaurant,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,12/02/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,5,5,FHRS,FALSE,"Matou, Mersey Ferries Georges Parade",,Liverpool,Liverpool,L3 1DP,,-2.997158051,53.40460205
699840,PI/000262561,The Fab 4 Cafe,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,18/01/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,5,0,FHRS,FALSE,"The Fab 4 Cafe, Mersey Ferries Georges Parade",,Liverpool,Liverpool,L3 1DP,,-2.997158051,53.40460205
1265835,78392,Casa Italia Delivery,Takeaway/sandwich shop,7844,AwaitingInspection,fhrs_awaitinginspection_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,,,,FHRS,FALSE,1 Regent Street,,Liverpool,Liverpool,L3 7BN,TRUE,-2.9970537,53.417851
586779,PI/000240837,Crowne Plaza,Hotel/bed & breakfast/guest house,7842,5,fhrs_5_en-GB,04/01/2021,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,5,0,FHRS,FALSE,2 St Nicholas Place,,Liverpool,Liverpool,L3 1QW,,-2.9970491,53.4070291
1302740,79142,White Bean Coffee,Restaurant/Cafe/Canteen,1,AwaitingInspection,fhrs_awaitinginspection_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,,,,FHRS,FALSE,149 Great Howard Street,City Centre,Liverpool,Liverpool,L3 7DL,TRUE,-2.99677,53.4182584
1243817,71734,Petrogas Group UK Ltd,Retailers - other,4613,3,fhrs_3_en-GB,29/01/2020,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,10,5,10,FHRS,FALSE,"Bp Petrol Fiilling Station, 121 Great Howard Street",City Centre,Liverpool,Liverpool,L3 7AT,,-2.99654603,53.41638947
521633,PI/000226383,Panoramic 34,Restaurant/Cafe/Canteen,1,3,fhrs_3_en-GB,27/04/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,10,10,10,FHRS,FALSE,"Panoramic Restaurant 34th Floor, 3401, West Tower, 8 Brook Street",,Liverpool,Liverpool,L3 9PH,,-2.996439934,53.40991211
1265836,78394,4 Nations Food Company Ltd,Restaurant/Cafe/Canteen,1,AwaitingInspection,fhrs_awaitinginspection_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,,,,FHRS,FALSE,"Third Floor, West Tower, 8 Brook Street",,Liverpool,Liverpool,L3 9PJ,TRUE,-2.9964397,53.4099196
498014,PI/000236842,Radisson Blu Hotel,Hotel/bed & breakfast/guest house,7842,5,fhrs_5_en-GB,08/08/2017,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,5,5,FHRS,FALSE,107 Old Hall Street,,Liverpool,Liverpool,L3 9BD,,-2.9964325,53.4108994
496059,PI/000010198,Awesome Walls Climbing Centre,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,13/06/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,0,5,FHRS,FALSE,Awesome Walls Climbing Centre Athol Street,,Liverpool,Liverpool,L5 9TN,,-2.996151924,53.42400742
1243710,71608,Georgies Sandwich Bar and Grill,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,29/01/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,0,5,FHRS,FALSE,3 Glegg Street,,Liverpool,Liverpool,L3 7DW,,-2.9961302,53.4198403
779745,PI/000265338,Tai Pan Restaurant,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,18/12/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,0,5,FHRS,FALSE,"Tai Pan Restaurant, W H Lung Building Blackstone Street",,Liverpool,Liverpool,L5 9TZ,,-2.996031046,53.42462921
498150,PI/000240543,W H Lung Supermarket,Retailers - supermarkets/hypermarkets,7840,5,fhrs_5_en-GB,06/06/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,0,0,FHRS,FALSE,W H Lung Building Blackstone Street,,Liverpool,Liverpool,L5 9TZ,,-2.996031046,53.42462921
1243920,71854,Sodexo,Hotel/bed & breakfast/guest house,7842,5,fhrs_5_en-GB,22/05/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,5,5,FHRS,FALSE,26 Great Howard Street,City Centre,Liverpool,Liverpool,L3 7HS,,-2.9959213,53.4141306
1243982,71929,Bean (Staff Canteen),Restaurant/Cafe/Canteen,1,3,fhrs_3_en-GB,22/10/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,10,10,10,FHRS,FALSE,"Seventh Floor, Royal Liver Building Georges Pier Head",,Liverpool,Liverpool,L3 1HN,,-2.995897055,53.40598679
1243789,71703,The Venue at the Royal Liver Buildin,Other catering premises,7841,5,fhrs_5_en-GB,30/01/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,5,0,FHRS,FALSE,"The Venue First Floor, Royal Liver Building Georges Pier Head",,Liverpool,Liverpool,L3 1HU,,-2.995882034,53.40599442
1244200,76839,Relish @ The Liver Building,Restaurant/Cafe/Canteen,1,AwaitingInspection,fhrs_awaitinginspection_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,,,,FHRS,FALSE,"Ground Floor, Royal Liver Building Georges Pier Head",,Liverpool,Liverpool,L3 1HU,TRUE,-2.9958817,53.4059961
1345475,79592,Elior Uk- Staff Canteen BT LIVERPOOL,Other catering premises,7841,AwaitingInspection,fhrs_awaitinginspection_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,,,,FHRS,FALSE,Lancaster House Old Hall Street,,Liverpool,Liverpool,L3 9PY,TRUE,-2.9957465,53.4111568
496370,PI/000044502,Atlantic Service Station,Retailers - other,4613,5,fhrs_5_en-GB,21/10/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,5,0,FHRS,FALSE,"Derby Road Petrol Filling Station, 74 - 80 Derby Road",,Liverpool,Liverpool,L20 8TD,,-2.995714903,53.43877792
1243749,71655,Waterfront Cafe,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,18/01/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,5,0,FHRS,FALSE,"Waterfront Cafe, Museum Of Liverpool Georges Pier Head",,Liverpool,Liverpool,L3 1DG,,-2.995570898,53.40297699
1094210,PI/000273709,Mercure Liverpool,Hotel/bed & breakfast/guest house,7842,4,fhrs_4_en-GB,26/07/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,10,5,5,FHRS,FALSE,"Mecure Liverpool Atlantic Tower Hotel, 34 Chapel Street",,Liverpool,Liverpool,L3 9RE,,-2.9952258,53.4075387
1243827,71746,The British Music Experience,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,03/05/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,0,0,FHRS,FALSE,"The British Music Experience, Cunard Building Goree",,Liverpool,Liverpool,L3 1QL,,-2.995021105,53.4052124
1158845,19542,SANS CAFE,Restaurant/Cafe/Canteen,1,4,fhrs_4_en-GB,27/08/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,5,10,FHRS,FALSE,3 Lightbody Street,,Liverpool,Liverpool,L5 9UU,,-2.99488306,53.42309189
498166,PI/000240839,Sime Darby Oils - Liverpool Refinery,Manufacturers/packers,7839,5,fhrs_5_en-GB,19/08/2014,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,0,0,FHRS,FALSE,"New Britain Oils Ltd, 45 Derby Road",,Liverpool,Liverpool,L20 8DY,,-2.99485898,53.43179321
1265837,78395,Aska Sushi & BBQ,Restaurant/Cafe/Canteen,1,AwaitingInspection,fhrs_awaitinginspection_en-GB,,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,,,,FHRS,FALSE,1 St Pauls Square,,Liverpool,Liverpool,L3 9SJ,TRUE,-2.9948034,53.4102476
1243853,71775,Aramark (Staff Canteen),Other catering premises,7841,4,fhrs_4_en-GB,30/08/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,10,0,10,FHRS,FALSE,"Aramak Staff Canteen, The Plaza, 100 Old Hall Street",,Liverpool,Liverpool,L3 9QJ,,-2.994734049,53.41093063
1243910,71841,Chopd,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,10/01/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,0,0,FHRS,FALSE,"Chopd, The Plaza, 100 Old Hall Street",,Liverpool,Liverpool,L3 9QJ,,-2.994734049,53.41093063
498160,PI/000240760,Cinnamon Cafe Bar and Lounge,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,10/04/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,5,5,FHRS,FALSE,"Cafe, The Capital Building, 39 Old Hall Street",,Liverpool,Liverpool,L3 9PP,,-2.994721889,53.40915298
509440,PI/000237812,Tesco,Retailers - supermarkets/hypermarkets,7840,5,fhrs_5_en-GB,22/01/2013,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,5,0,FHRS,FALSE,"Tesco Express Supermarket, The Capital Building, 39 Old Hall Street",,Liverpool,Liverpool,L3 9PP,,-2.994721889,53.40915298
542992,PI/000256555,Chung Wang,Distributors/Transporters,7,5,fhrs_5_en-GB,22/01/2016,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,5,0,FHRS,FALSE,25 Townsend Street,,Liverpool,Liverpool,L5 9XY,,-2.9946174,53.4263827
1243760,71669,Brasco Lounge,Restaurant/Cafe/Canteen,1,3,fhrs_3_en-GB,10/10/2017,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,10,10,10,FHRS,FALSE,27 Mann Island,,Liverpool,Liverpool,L3 1BP,,-2.9944152,53.4035337
919809,PI/000269464,Mrs Danvers Tearoom,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,02/07/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,0,0,FHRS,FALSE,Port Of Liverpool Building Mann Island,,Liverpool,Liverpool,L3 1BY,,-2.9944119,53.4042466
766489,PI/000264933,Hong Sun Wholesale,Distributors/Transporters,7,4,fhrs_4_en-GB,14/01/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,10,10,FHRS,FALSE,23 - 27 Boundary Street,,Liverpool,Liverpool,L5 9ZQ,,-2.9944008,53.4257028
766516,PI/000265089,Ma Boyles Alehouse And Eatery,Restaurant/Cafe/Canteen,1,2,fhrs_2_en-GB,25/04/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,15,10,FHRS,FALSE,2 Tower Gardens,,Liverpool,Liverpool,L3 1LG,,-2.9943323,53.4066382
919801,PI/000247767,Bean Coffee & Cocktails,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,26/07/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,5,5,FHRS,FALSE,3 St Pauls Square,,Liverpool,Liverpool,L3 9RY,,-2.994183064,53.41054916
496245,PI/000032336,The Racquet Club,Restaurant/Cafe/Canteen,1,2,fhrs_2_en-GB,01/03/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,10,15,10,FHRS,FALSE,"Hargreaves Building, 5 Chapel Street",,Liverpool,Liverpool,L3 9AG,,-2.9941387,53.4073679
1243901,71832,Bean,Restaurant/Cafe/Canteen,1,4,fhrs_4_en-GB,06/06/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,5,10,FHRS,FALSE,"Bean, Unity Commercial, 20 Chapel Street",,Liverpool,Liverpool,L3 9AG,,-2.9941308,53.4076736
1243981,71928,Cafe Lucaya,Takeaway/sandwich shop,7844,5,fhrs_5_en-GB,06/11/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,0,0,FHRS,FALSE,"Cafe Lucaya, Tower Building, 22 Water Street",Liverpool Two,Liverpool,Liverpool,L3 1BA,,-2.994127035,53.40620041
1243685,71573,Tate Liverpool Cafe,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,15/05/2017,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,5,0,FHRS,FALSE,"Tate Liverpool Cafe, Commonwealth Pavilion Gower Street",,Liverpool,Liverpool,L3 4BB,,-2.994066954,53.40040207
1243899,71829,Bite,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,26/02/2020,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,5,0,FHRS,FALSE,3B Tower Gardens,,Liverpool,Liverpool,L3 1LG,,-2.9940558,53.4064176
997784,PI/000271305,Cuppacoffee,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,21/12/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,0,5,FHRS,FALSE,17 Mann Island,,Liverpool,Liverpool,L3 1BP,,-2.9940481,53.4036472
683793,PI/000260719,Trattoria 51,Restaurant/Cafe/Canteen,1,3,fhrs_3_en-GB,17/01/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,10,10,10,FHRS,FALSE,25 - 31 Old Hall Street,,Liverpool,Liverpool,L3 9BS,,-2.9940099,53.4089421
542983,PI/000256055,Docklands Fish & Chips,Takeaway/sandwich shop,7844,5,fhrs_5_en-GB,08/03/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,5,5,FHRS,FALSE,"12, The Colonnades Gower Street",,Liverpool,Liverpool,L3 4AA,,-2.994000912,53.4001503
509403,PI/000001146,Sainsbury's,Retailers - supermarkets/hypermarkets,7840,5,fhrs_5_en-GB,16/05/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,0,0,FHRS,FALSE,Sainsburys Local Supermarket Old Hall Street,,Liverpool,Liverpool,L3 9NY,,-2.99399209,53.40943527
634243,PI/000247418,Time to Eat,Takeaway/sandwich shop,7844,5,fhrs_5_en-GB,25/04/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,0,5,FHRS,FALSE,3A Chapel Street,,Liverpool,Liverpool,L3 9AG,,-2.9939449,53.4074415
982484,PI/000271170,Hotel Indigo &,Hotel/bed & breakfast/guest house,7842,5,fhrs_5_en-GB,30/08/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,5,5,FHRS,FALSE,"Hotel Indigo, 10 Chapel Street",,Liverpool,Liverpool,L3 9AG,,-2.993944883,53.40744019
496998,PI/000120009,Greggs,Retailers - other,4613,5,fhrs_5_en-GB,07/12/2020,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,0,0,FHRS,FALSE,38 Old Hall Street,,Liverpool,Liverpool,L3 9PP,,-2.9939043,53.4092775
616769,PI/000258882,Oh Me Oh My,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,08/11/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,,,,FHRS,FALSE,"West Africa House, 25 Water Street",Liverpool Two,Liverpool,Liverpool,L2 0RG,,-2.9938938,53.4058958
963206,PI/000267634,Revolucion de Cuba Limited,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,26/04/2017,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,5,5,FHRS,FALSE,"17, Edward Pavilion Salthouse Quay",,Liverpool,Liverpool,L3 4AA,,-2.993846893,53.40001678
639240,PI/000199775,Angels Vip,Pub/bar/nightclub,7843,5,fhrs_5_en-GB,19/02/2014,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,5,0,FHRS,FALSE,"Angels Vip, City Buildings, 21 Old Hall Street",,Liverpool,Liverpool,L3 9BS,,-2.993765116,53.40876389
1038846,PI/000272541,City Wine Bar,Restaurant/Cafe/Canteen,1,4,fhrs_4_en-GB,16/01/2019,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,10,5,FHRS,FALSE,"Ground Floor, City Buildings, 21 Old Hall Street",,Liverpool,Liverpool,L3 9BS,,-2.9937651,53.4087643
498739,PI/000247681,Mangetout,Takeaway/sandwich shop,7844,5,fhrs_5_en-GB,11/01/2018,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,0,0,5,FHRS,FALSE,"Ground Floor, City Buildings, 21 Old Hall Street",,Liverpool,Liverpool,L3 9BS,,-2.9937651,53.4087643
752323,PI/000264261,Costa Coffee,Restaurant/Cafe/Canteen,1,5,fhrs_5_en-GB,07/12/2020,414,Liverpool,http://www.liverpool.gov.uk,environmental.health@liverpool.gov.uk,5,5,0,FHRS,FALSE,"Unit 2, 5 St Pauls Square",,Liverpool,Liverpool,L3 9SJ,,-2.9937403,53.4101787
